Country,Continent,Rank2020,Year,Yield,Temperature
Algeria,Africa,17,2006,220689,1.429
Algeria,Africa,17,2007,189927,1.245
Algeria,Africa,17,2008,236393,1.215
Algeria,Africa,17,2009,250764,0.978
Algeria,Africa,17,2010,270526,2.291
Algeria,Africa,17,2011,292806,1.427
Algeria,Africa,17,2012,304291,1.184
Algeria,Africa,17,2013,303218,1.211
Algeria,Africa,17,2014,299247,1.715
Algeria,Africa,17,2015,296099,1.151
Algeria,Africa,17,2016,304506,1.776
Algeria,Africa,17,2017,309524,1.537
Algeria,Africa,17,2018,310916,1.246
Algeria,Africa,17,2019,318011,1.127
Algeria,Africa,17,2020,311744,1.943
Bangladesh,Asia,7,2006,143848,1.007
Bangladesh,Asia,7,2007,149768,0.472
Bangladesh,Asia,7,2008,165373,0.26
Bangladesh,Asia,7,2009,133367,1.037
Bangladesh,Asia,7,2010,182299,1.005
Bangladesh,Asia,7,2011,180931,0.292
Bangladesh,Asia,7,2012,190627,0.485
Bangladesh,Asia,7,2013,193790,0.377
Bangladesh,Asia,7,2014,193845,0.563
Bangladesh,Asia,7,2015,196476,0.796
Bangladesh,Asia,7,2016,199250,1.395
Bangladesh,Asia,7,2017,204432,1.242
Bangladesh,Asia,7,2018,204106,1.039
Bangladesh,Asia,7,2019,206131,1.264
Bangladesh,Asia,7,2020,208215,1.053
Belarus,Europe,14,2006,191956,0.65
Belarus,Europe,14,2007,211948,2.364
Belarus,Europe,14,2008,220735,2.255
Belarus,Europe,14,2009,186040,1.602
Belarus,Europe,14,2010,213518,1.456
Belarus,Europe,14,2011,209564,1.008
Belarus,Europe,14,2012,208131,1.546
Belarus,Europe,14,2013,193536,1.193
Belarus,Europe,14,2014,203925,2.165
Belarus,Europe,14,2015,193630,2.244
Belarus,Europe,14,2016,204651,2.194
Belarus,Europe,14,2017,232421,1.588
Belarus,Europe,14,2018,215781,2.339
Belarus,Europe,14,2019,228985,2.697
Belarus,Europe,14,2020,206405,3.518
Canada,Americas,13,2006,130482,2.348
Canada,Americas,13,2007,126498,1.332
Canada,Americas,13,2008,126065,0.856
Canada,Americas,13,2009,127453,0.54
Canada,Americas,13,2010,390809,2.915
Canada,Americas,13,2011,366462,1.449
Canada,Americas,13,2012,386092,2.155
Canada,Americas,13,2013,410606,1.187
Canada,Americas,13,2014,413836,0.297
Canada,Americas,13,2015,427087,1.225
Canada,Americas,13,2016,387791,2.412
Canada,Americas,13,2017,393780,1.503
Canada,Americas,13,2018,389128,0.523
Canada,Americas,13,2019,387755,1.342
Canada,Americas,13,2020,368725,1.158
China,Asia,1,2006,153126,1.245
China,Asia,1,2007,146243,1.55
China,Asia,1,2008,151775,1.104
China,Asia,1,2009,144131,1.352
China,Asia,1,2010,156643,0.982
China,Asia,1,2011,162778,0.808
China,Asia,1,2012,167685,0.645
China,Asia,1,2013,170879,1.103
China,Asia,1,2014,171382,1.107
China,Asia,1,2015,173080,1.341
China,Asia,1,2016,176846,1.378
China,Asia,1,2017,182064,1.636
China,Asia,1,2018,189697,1.422
China,Asia,1,2019,187289,1.473
China,Asia,1,2020,185466,1.703
Egypt,Africa,15,2006,250085,0.745
Egypt,Africa,15,2007,255717,0.623
Egypt,Africa,15,2008,259390,0.953
Egypt,Africa,15,2009,264241,0.954
Egypt,Africa,15,2010,259211,2.348
Egypt,Africa,15,2011,264311,0.653
Egypt,Africa,15,2012,268531,0.952
Egypt,Africa,15,2013,266276,1.069
Egypt,Africa,15,2014,268077,1.263
Egypt,Africa,15,2015,269646,1.219
Egypt,Africa,15,2016,259936,1.38
Egypt,Africa,15,2017,277724,0.626
Egypt,Africa,15,2018,289282,2.053
Egypt,Africa,15,2019,292876,1.058
Egypt,Africa,15,2020,292031,1.091
France,Europe,8,2006,401909,1.28
France,Europe,8,2007,453347,1.376
France,Europe,8,2008,435194,0.959
France,Europe,8,2009,437856,1.174
France,Europe,8,2010,421566,0.353
France,Europe,8,2011,468991,1.492
France,Europe,8,2012,413769,1.178
France,Europe,8,2013,431560,0.671
France,Europe,8,2014,479779,1.999
France,Europe,8,2015,425052,1.558
France,Europe,8,2016,388267,1.738
France,Europe,8,2017,440460,1.743
France,Europe,8,2018,393886,2.006
France,Europe,8,2019,413227,1.956
France,Europe,8,2020,405217,2.478
Germany,Europe,6,2006,365680,1.26
Germany,Europe,6,2007,423470,2.093
Germany,Europe,6,2008,437606,1.545
Germany,Europe,6,2009,443045,1.284
Germany,Europe,6,2010,398758,0.196
Germany,Europe,6,2011,457565,1.12
Germany,Europe,6,2012,447570,1.35
Germany,Europe,6,2013,398258,0.584
Germany,Europe,6,2014,474154,2.516
Germany,Europe,6,2015,438116,1.673
Germany,Europe,6,2016,444027,1.985
Germany,Europe,6,2017,467864,1.651
Germany,Europe,6,2018,353719,2.395
Germany,Europe,6,2019,390361,2.335
Germany,Europe,6,2020,428340,2.521
India,Asia,2,2006,185920,0.643
India,Asia,2,2007,164101,0.604
India,Asia,2,2008,192973,0.248
India,Asia,2,2009,188103,1.118
India,Asia,2,2010,199299,1.101
India,Asia,2,2011,227240,0.323
India,Asia,2,2012,217530,0.451
India,Asia,2,2013,227606,0.397
India,Asia,2,2014,229224,0.492
India,Asia,2,2015,231257,0.653
